#名称,分类号,装备外观,物品外观,特殊能量,最低防御,最大防御,最低魔御,最大魔御,最低攻击,最大攻击,最低魔法,最大魔法,最低道术,最大道术,魔法命中,中毒命中,重量,最大持久,价格,需求类型,需求等级,,,,,,
#衣服,,,,,,,,,,,,,,,,,,,,,,,,,,,
心灵召唤,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,30000,0,1,,,,,,
诅咒术,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1000,0,1,,,,,,
赶尸,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2000,0,1,,,,,,
替身法符,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2000,0,1,,,,,,
困魔咒,4,2,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,8000,0,1,,,,,,
魔法盾,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,10000,0,0,,,,,,
爆裂火焰,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,3000,0,1,,,,,,
疾光电影,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,10000,0,0,,,,,,
风火轮,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,2000,0,0,,,,,,
冰龙破,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,10000,0,0,,,,,,
玄冰刃,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,8000,0,0,,,,,,
抗拒火环,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,500,0,0,,,,,,
雷电术,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1000,0,0,,,,,,
地狱雷光,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,8000,0,1,,,,,,
火墙,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,3000,0,1,,,,,,
冰箭术,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1000,0,0,,,,,,
五雷轰,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,20000,0,0,,,,,,
小火球,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,500,0,0,,,,,,
风影盾,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,15000,0,0,,,,,,
圣言术,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,10000,0,0,,,,,,
瞬间移动,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2000,0,1,,,,,,
冰旋风,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,10000,0,1,,,,,,
法之魄,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,10000,0,0,,,,,,
兽灵术,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,10000,0,0,,,,,,
狂龙紫电,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,360,0,0,,,,,,
化身蝙蝠,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,360,0,0,,,,,,
诱惑之光,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1000,0,0,,,,,,
流星火雨,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,20000,0,0,,,,,,
魔魂术,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,20000,0,0,,,,,,
火炎刀,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2000,0,0,,,,,,
地狱火焰,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1000,0,0,,,,,,
冰咆哮,4,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,20000,0,0,,,,,,
护身真气,4,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2000,0,0,,,,,,
血影刀法,4,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,2000,0,0,,,,,,
残影刀法,4,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2000,0,0,,,,,,
攻杀剑法,4,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,10000,0,0,,,,,,
抱月刀,4,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,8000,0,0,,,,,,
半月弯刀,4,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,8000,0,1,,,,,,
野蛮冲撞,4,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,8000,0,0,,,,,,
刺杀剑术,4,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,5000,0,0,,,,,,
雷霆剑,4,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,20000,0,0,,,,,,
初级剑法,4,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,500,0,0,,,,,,
破击剑法,4,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,5000,0,1,,,,,,
破盾斩,4,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,40000,0,1,,,,,,
突斩,4,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,35000,0,1,,,,,,
金刚护体,4,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,50000,0,1,,,,,,
擒龙手,4,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,50000,0,1,,,,,,
移形换影,4,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,50000,0,1,,,,,,
战魂真悟,4,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,10000,0,0,,,,,,
烈火剑法,4,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,20000,0,0,,,,,,
#药品,,,,,,,,,,,,,,,,,,,,,,,,,,,
金创药(小量),0,0,168,0,30,0,0,0,0,0,0,0,0,0,0,0,1,1,80,0,1,,,,,,
魔法药(小量),0,0,175,0,0,0,30,0,0,0,0,0,0,0,0,0,1,1,80,0,0,,,,,,
金创药(中量),0,0,169,0,50,0,0,0,0,0,0,0,0,0,0,0,2,1,200,0,0,,,,,,
魔法药(中量),0,0,176,0,0,0,80,0,0,0,0,0,0,0,0,0,2,1,200,0,0,,,,,,
金创药(大量),0,0,170,0,90,0,0,0,0,0,0,0,0,0,0,0,3,1,550,0,1,,,,,,
魔法药(大量),0,0,177,0,0,0,150,0,0,0,0,0,0,0,0,0,3,1,550,0,1,,,,,,
特级金创药,0,0,733,0,140,0,0,0,0,0,0,0,0,0,0,0,3,1,850,0,1,,,,,,
特级魔法药,0,0,734,0,0,0,240,0,0,0,0,0,0,0,0,0,3,1,850,0,1,,,,,,
超级魔法药,31,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,3400,0,0,,,,,,
超级金创药,31,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,3400,0,0,,,,,,
金创药(小)包,31,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,680,0,0,,,,,,
魔法药(小)包,31,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,680,0,0,,,,,,
金创药(中)包,31,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,1520,0,0,,,,,,
魔法药(中)包,31,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,1520,0,0,,,,,,
特级金创药包,31,0,731,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,5200,0,0,,,,,,
特级魔法药包,31,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,5200,0,0,,,,,,
小包金创药袋,31,0,855,6,0,0,0,0,0,0,0,0,0,0,0,0,21,6,3400,0,0,,,,,,
小包魔法药袋,31,0,855,6,0,0,0,0,0,0,0,0,0,0,0,0,21,6,3400,0,0,,,,,,
中包金创药袋,31,0,855,6,0,0,0,0,0,0,0,0,0,0,0,0,42,6,3400,0,0,,,,,,
中包魔法药袋,31,0,855,6,0,0,0,0,0,0,0,0,0,0,0,0,42,6,3400,0,0,,,,,,
超级金创药袋,31,0,855,6,0,0,0,0,0,0,0,0,0,0,0,0,60,6,3400,0,0,,,,,,
超级魔法药袋,31,0,855,6,0,0,0,0,0,0,0,0,0,0,0,0,60,6,3400,0,0,,,,,,
特级金创药袋,31,0,855,6,0,0,0,0,0,0,0,0,0,0,0,0,60,6,3400,0,0,,,,,,
特级魔法药袋,31,0,855,6,0,0,0,0,0,0,0,0,0,0,0,0,60,6,3400,0,0,,,,,,
太阳神水,0,1,180,0,30,0,40,0,0,0,0,0,0,0,0,0,1,1,1000,0,1,,,,,,
太阳水药袋,31,0,855,6,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3400,0,0,,,,,,
强效太阳神水,0,1,223,0,50,0,80,0,0,0,0,0,0,0,0,0,2,1,2000,0,0,,,,,,
强效太阳水药袋,31,0,855,6,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3400,0,0,,,,,,
治疗药水,0,1,174,0,100,0,160,0,0,0,0,0,0,0,0,0,1,0,5000,0,0,,,,,,
治疗药水袋,31,0,855,6,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3400,0,0,,,,,,
祝福神油,3,4,179,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10000,0,0,,,,,,
天山雪莲,0,200,793,0,10,0,0,0,88,2,0,0,0,0,0,0,3,1*1,8000,0,1,,,,,,
超级天山雪莲,0,200,793,0,10,0,0,0,88,2,0,0,0,0,0,0,6,10*1,40000,0,1,,,,,,
深海灵礁,0,200,794,0,0,0,10,0,88,2,0,0,0,0,0,0,3,1*1,5000,0,1,,,,,,
超级深海灵礁,0,200,794,0,0,0,10,0,88,2,0,0,0,0,0,0,6,10*1,25000,0,1,,,,,,
强化技能灵丹,0,5,751,0,0,0,0,0,0,0,10,0,0,0,0,0,1,1,5000,0,0,,,,,,
强化技能灵丹1,0,5,751,0,0,0,0,0,0,0,50,0,0,0,0,0,1,1,5000,0,0,,,,,,
强化技能灵丹2,0,5,751,0,0,0,0,0,0,0,100,0,0,0,0,0,1,1,5000,0,0,,,,,,
强化技能灵丹3,0,5,751,0,0,0,0,0,0,0,200,0,0,0,0,0,1,1,5000,0,0,,,,,,
#腰带靴子,,,,,,,,,,,,,,,,,,,,,,,,,,,
靴子(未鉴定),45,0,662,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,8000,0,0,,,,,,
腰带(未鉴定),45,0,663,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,8000,0,0,,,,,,
光芒靴子,81,0,673,0,0,1,0,0,0,0,0,0,0,1,0,0,1,10,5000,0,31,,,,,,
玄铁靴子,81,0,723,0,0,2,0,0,0,1,0,0,0,0,0,0,1,10,5000,0,31,,,,,,
灵力靴子,81,0,724,0,0,2,0,0,0,0,0,1,0,0,0,0,1,10,8000,0,31,,,,,,
玄珠靴子,81,0,725,0,0,1,0,2,0,0,0,0,0,0,0,0,1,10,3600,0,28,,,,,,
魔龙法靴,81,0,670,0,0,2,1,2,0,0,0,1,0,0,0,0,1,10,8000,0,38,,,,,,
天玄道靴,81,0,676,0,1,1,0,0,0,0,0,0,0,2,0,0,1,10,8000,0,43,,,,,,
天尊道靴,81,0,675,0,1,1,0,0,0,0,0,0,1,1,0,0,1,10,8000,0,40,,,,,,
风云道靴,81,0,674,0,1,1,0,1,0,0,0,0,0,1,0,0,1,10,8000,0,38,,,,,,
幻魔靴子,81,0,672,0,1,2,0,0,0,0,1,2,0,0,0,0,1,10,8000,0,43,,,,,,
法神靴子,81,0,671,0,1,2,0,0,0,0,0,2,0,0,0,0,1,10,8000,0,40,,,,,,
寒星靴子,81,0,669,0,0,1,0,1,0,0,0,0,0,0,0,0,1,10,5000,0,28,,,,,,
神武战靴,81,0,668,0,0,2,0,0,0,3,0,0,0,0,0,0,1,10,8000,0,43,,,,,,
圣战靴子,81,0,667,0,0,2,0,1,1,2,0,0,0,0,0,0,1,10,8000,0,40,,,,,,
雷霆战靴,81,0,666,0,1,2,0,1,0,2,0,0,0,0,0,0,1,10,8000,0,38,,,,,,
天鹰靴子,81,0,665,0,0,2,0,0,0,0,0,0,0,0,0,0,1,10,5000,0,31,,,,,,
鹿皮靴子,81,0,664,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,3000,0,24,,,,,,
幸运靴子,81,0,774,0,0,2,0,2,0,4,0,4,0,4,0,0,1,10,8000,0,43,,,,,,
祈祷靴子,81,0,772,0,0,2,0,2,0,4,0,4,0,4,0,0,1,10,8000,0,43,,,,,,
天鹰腰带,58,0,678,0,0,1,1,2,0,0,0,0,0,0,0,0,1,10,3600,0,31,,,,,,
雷霆腰带,58,0,679,0,0,1,0,2,1,0,0,0,0,0,0,0,1,10,10000,0,38,,,,,,
圣战腰带,58,0,680,0,0,0,0,1,0,1,0,0,0,0,0,0,1,10,10000,0,40,,,,,,
神武腰带,58,0,681,0,0,1,0,1,1,1,0,0,0,0,0,0,1,10,10000,0,43,,,,,,
寒星腰带,58,0,682,0,1,1,0,0,0,0,0,0,0,0,0,0,1,10,3600,0,28,,,,,,
灵力腰带,58,0,727,0,0,1,0,2,0,0,0,0,0,0,0,0,1,10,5000,0,31,,,,,,
魔龙腰带,58,0,683,0,1,1,1,2,0,0,0,0,0,0,0,0,1,10,10000,0,38,,,,,,
法神腰带,58,0,684,0,1,1,0,0,0,0,0,1,0,0,0,0,1,10,10000,0,40,,,,,,
幻魔腰带,58,0,685,0,1,2,0,0,0,0,1,1,0,0,0,0,1,10,10000,0,43,,,,,,
光芒腰带,58,0,686,0,0,2,0,2,0,0,0,0,0,0,0,0,1,10,3600,0,31,,,,,,
风云腰带,58,0,687,0,1,2,1,1,0,0,0,0,0,0,0,0,1,10,10000,0,38,,,,,,
天尊腰带,58,0,688,0,0,2,0,0,0,0,0,0,0,1,0,0,1,10,10000,0,40,,,,,,
天玄腰带,58,0,689,0,1,2,0,0,0,0,0,0,1,1,0,0,1,10,1000,0,43,,,,,,
玄珠腰带,58,0,728,0,0,2,0,1,0,0,0,0,0,0,0,0,1,10,3600,0,28,,,,,,
鹿皮腰带,58,0,677,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,2500,0,24,,,,,,
护身腰带,58,0,771,0,1,2,1,3,1,2,1,2,1,2,0,0,1,10,10000,0,43,,,,,,
祈祷腰带,58,0,773,0,0,1,0,1,1,1,0,0,0,0,0,0,1,10,10000,0,43,,,,,,
#幻彩套,,,,,,,,,,,,,,,,,,,,,,,,,,,
幻彩头盔,15,191,613,0,1,1,0,1,0,0,0,0,0,0,0,0,1,5,0,0,1,,,,,,
幻彩项链,19,191,614,0,0,0,0,0,1,0,0,1,0,1,0,0,1,5,0,0,1,,,,,,
幻彩手镯,26,191,615,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5,0,0,1,,,,,,
幻彩戒指,22,191,616,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5,0,0,1,,,,,,
#幻影套,,,,,,,,,,,,,,,,,,,,,,,,,,,
幻影手镯,26,192,619,0,1,1,0,1,0,1,0,1,0,2,0,0,2,7,0,0,19,,,,,,
幻影戒指,22,192,620,0,0,0,0,1,0,2,0,2,1,2,0,0,2,7,0,0,19,,,,,,
幻影项链,19,192,618,0,0,0,0,0,0,2,0,2,1,1,0,0,2,7,0,0,18,,,,,,
幻影头盔,15,192,617,0,1,2,1,2,0,0,0,0,0,0,0,0,5,7,0,0,16,,,,,,
#龙象套,,,,,,,,,,,,,,,,,,,,,,,,,,,
龙象头盔,15,194,621,0,1,3,1,3,0,0,0,0,0,0,0,0,1,5,10000,0,16,,,,,,
龙象戒指,22,194,624,0,0,0,0,0,0,2,0,2,0,1,0,0,1,5,10000,0,18,,,,,,
龙象项链,19,194,622,0,0,0,0,0,1,2,0,2,0,0,0,0,1,5,20000,0,17,,,,,,
龙象手镯,26,194,623,0,0,1,0,0,0,0,1,1,0,0,0,0,1,5,10000,0,19,,,,,,
#狂怒套,,,,,,,,,,,,,,,,,,,,,,,,,,,
狂怒头盔,15,0,625,0,1,3,0,2,0,0,0,0,0,0,0,0,2,7,20000,0,28,,,,,,
狂怒戒指,22,0,628,0,0,0,0,0,0,4,0,3,1,3,0,0,1,5,20000,0,30,,,,,,
狂怒项链,19,0,626,0,2,0,0,0,3,6,0,0,0,0,0,0,2,7,8000,0,42,,,,,,
狂怒手镯,26,0,627,0,0,0,0,0,1,3,1,3,1,3,0,0,1,5,20000,0,29,,,,,,
#神御套,,,,,,,,,,,,,,,,,,,,,,,,,,,
神御手镯,26,0,631,0,0,0,1,2,0,1,1,1,1,2,0,0,1,5,20000,0,29,,,,,,
神御项链,19,0,630,0,0,0,0,0,2,2,1,3,2,2,0,0,1,7,8000,0,27,,,,,,
神御戒指,22,0,632,0,0,0,0,0,1,3,1,2,1,2,0,0,1,5,20000,0,30,,,,,,
神御头盔,15,0,629,0,1,3,0,2,0,1,0,0,0,0,0,0,2,7,20000,0,28,,,,,,
#不动明王,,,,,,,,,,,,,,,,,,,,,,,,,,,
不动明王手镯,26,0,635,0,1,2,2,4,0,0,0,0,0,0,0,0,1,5,20000,0,35,,,,,,
不动明王项链,19,0,634,0,0,2,0,0,0,1,0,1,0,1,0,0,1,5,45000,0,35,,,,,,
不动明王戒指,22,0,636,0,0,1,1,2,0,0,0,0,0,0,0,0,1,5,20000,0,35,,,,,,
不动明王头盔,15,0,633,0,3,4,1,2,0,0,0,0,0,0,0,0,20,7,20000,0,35,,,,,,
#记忆套,,,,,,,,,,,,,,,,,,,,,,,,,,,
记忆手镯,24,124,139,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6,10000,0,26,,,,,,
记忆项链,19,123,140,0,0,0,0,0,2,4,0,0,0,0,0,0,1,8,10000,0,26,,,,,,
记忆戒指,22,122,138,0,0,0,0,0,0,0,0,0,1,3,0,0,1,7,10000,0,26,,,,,,
记忆头盔,15,125,141,0,3,3,0,0,0,0,0,0,0,0,0,0,8,7,10000,0,26,,,,,,
#天玄套,,,,,,,,,,,,,,,,,,,,,,,,,,,
天玄头盔,15,994,602,0,4,4,1,2,0,0,0,0,0,1,0,0,3,7,20000,0,41,,,,,,
天玄手镯,26,994,608,0,1,2,0,0,0,0,0,0,1,4,0,0,1,7,20000,0,43,,,,,,
天玄项链,19,994,605,0,0,0,0,2,0,0,0,0,2,7,0,0,1,7,20000,0,42,,,,,,
天玄戒指,22,994,611,0,0,0,0,1,0,0,0,0,2,7,0,0,1,7,20000,0,44,,,,,,
#神武套,,,,,,,,,,,,,,,,,,,,,,,,,,,
神武头盔,15,993,601,0,4,5,2,3,0,1,0,0,0,0,0,0,20,7,20000,0,41,,,,,,
神武手镯,24,993,607,0,0,2,0,0,2,3,0,0,0,0,0,0,2,7,20000,0,43,,,,,,
神武戒指,22,993,610,0,0,0,0,1,0,7,0,0,0,0,0,0,2,7,20000,0,44,,,,,,
神武项链,19,993,604,0,0,0,0,2,3,6,0,0,0,0,0,0,2,7,20000,0,42,,,,,,
#幻魔套,,,,,,,,,,,,,,,,,,,,,,,,,,,
幻魔头盔,15,992,603,0,4,4,1,2,0,0,0,1,0,0,0,0,2,7,20000,0,41,,,,,,
幻魔项链,19,992,606,0,0,0,0,2,0,0,1,8,0,0,0,0,1,7,20000,0,42,,,,,,
幻魔手镯,26,992,609,0,0,1,0,0,0,0,0,4,0,0,0,0,1,7,20000,0,43,,,,,,
幻魔戒指,22,992,612,0,0,0,0,1,0,0,1,6,0,0,0,0,1,7,20000,0,44,,,,,,
#魔血套,,,,,,,,,,,,,,,,,,,,,,,,,,,
魔血手镯,26,991,163,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,10000,0,33,,,,,,
魔血项链,20,991,164,0,0,0,0,0,2,2,1,3,0,0,0,0,2,4,10000,0,33,,,,,,
魔血戒指,22,991,162,0,0,0,0,0,1,3,0,0,1,0,0,0,2,4,10000,0,35,,,,,,
#嗜血套,,,,,,,,,,,,,,,,,,,,,,,,,,,
嗜血手镯,26,990,166,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,10000,0,33,,,,,,
嗜血戒指,22,990,165,0,0,0,0,0,0,4,0,0,0,0,0,0,2,4,10000,0,35,,,,,,
嗜血项链,20,990,167,0,0,0,0,0,0,0,0,4,0,0,0,0,2,4,10000,0,33,,,,,,
#祈祷套,,,,,,,,,,,,,,,,,,,,,,,,,,,
祈祷手镯,26,126,145,0,0,0,0,0,0,2,0,0,0,0,0,0,1,5,10000,0,15,,,,,,
祈祷项链,21,127,143,0,0,0,0,0,0,0,0,0,0,4,0,0,1,5,10000,0,15,,,,,,
祈祷戒指,23,128,142,0,0,0,0,0,0,0,1,5,0,0,0,0,1,5,10000,0,25,,,,,,
祈祷头盔,15,129,146,0,3,4,1,2,0,0,0,0,0,0,0,0,2,5,20000,0,18,,,,,,
#宝石类,,,,,,,,,,,,,,,,,,,,,,,,,,,
红宝石,45,0,659,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,12000,0,0,,,,,,
绿宝石,45,0,660,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,12000,0,0,,,,,,
蓝宝石,45,0,661,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,12000,0,0,,,,,,
天玉宝石,55,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,30000,0,0,,,,,,
火晶石(小),59,0,691,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,7,0,0,0,1,0,78,,
火晶石(中),59,0,692,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,36,0,0,0,1,0,78,,
火晶石(大),59,0,693,0,0,0,0,0,1,2,0,0,0,0,0,0,3,1,140,0,0,0,1,0,78,,
火晶宝石,59,0,694,0,0,0,0,0,1,3,0,0,0,0,0,0,1,4,50000,0,0,,,,,,
冰月石(小),59,1,695,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,0,0,0,1,0,78,,
冰月石(中),59,1,696,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,20,0,0,0,1,0,78,,
冰月石(大),59,1,697,0,0,0,0,0,1,2,0,0,0,0,0,0,3,1,50000,0,0,,,,,,
冰月宝石,59,1,698,0,0,0,0,0,0,0,1,3,0,0,0,0,1,4,50000,0,0,,,,,,
水云石(小),59,2,699,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,0,0,0,1,0,78,,
水云石(中),59,2,700,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,24,0,0,0,1,0,78,,
水云石(大),59,2,701,0,0,0,0,0,0,0,0,0,1,2,0,0,3,1,50000,0,0,,,,,,
水云宝石,59,2,702,0,0,0,0,0,0,0,0,0,1,3,0,0,1,4,50000,0,0,,,,,,
金刚石(小),59,3,703,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,78,,
金刚石(中),59,3,704,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,50000,0,0,,,,,,
金刚石(大),59,3,705,0,1,2,0,0,0,0,0,0,0,0,0,0,3,1,50000,0,0,,,,,,
金刚宝石,59,3,706,0,1,3,0,0,0,0,0,0,0,0,0,0,1,4,50000,0,0,,,,,,
圣魔石(小),59,4,707,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,78,,
圣魔石(中),59,4,708,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,3,0,0,0,1,0,78,,
圣魔石(大),59,4,709,0,0,0,1,2,0,0,0,0,0,0,0,0,3,1,50000,0,0,,,,,,
圣魔宝石,59,4,710,0,0,0,1,3,0,0,0,0,0,0,0,0,4,1,50000,0,0,,,,,,
青木石(小),59,5,711,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,78,,
青木石(中),59,5,712,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50000,0,0,,,,,,
青木石(大),59,5,713,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50000,0,0,,,,,,
青木宝石,59,5,714,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50000,0,0,,,,,,
紫心石(小),59,6,715,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50000,0,0,0,0,0,78,,
紫心石(中),59,6,716,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50000,0,0,,,,,,
紫心石(大),59,6,717,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50000,0,0,,,,,,
紫心宝石,59,6,718,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50000,0,0,,,,,,
天地石(小),59,7,719,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,50000,0,0,,,,,,
天地石(中),59,7,720,0,2,2,2,2,2,2,2,2,2,2,0,0,1,1,50000,0,0,,,,,,
天地石(大),59,7,721,0,2,2,2,2,2,2,2,2,2,2,0,0,1,1,50000,0,0,,,,,,
天地宝石,59,7,722,0,3,3,3,3,3,3,3,3,3,3,0,0,1,1,50000,0,0,,,,,,
#勋章类,,,,,,,,,,,,,,,,,,,,,,,,,,,
荣誉勋章11号,30,0,214,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,5000,0,28,,,,,,
荣誉勋章12号,30,0,214,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50,5000,0,28,,,,,,
荣誉勋章13号,30,0,214,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,5000,0,28,,,,,,
荣誉勋章14号,30,0,214,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50,5000,0,28,,,,,,
荣誉勋章15号,30,0,214,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50,5000,0,28,,,,,,
荣誉勋章21号,30,0,214,0,0,2,0,0,0,0,0,0,0,0,0,0,0,50,5000,0,28,,,,,,
荣誉勋章22号,30,0,214,0,0,0,0,2,0,0,0,0,0,0,0,0,0,50,5000,0,28,,,,,,
荣誉勋章23号,30,0,214,0,0,0,0,0,0,2,0,0,0,0,0,0,0,50,5000,0,28,,,,,,
荣誉勋章24号,30,0,214,0,0,0,0,0,0,0,0,2,0,0,0,0,0,50,5000,0,28,,,,,,
荣誉勋章25号,30,0,214,0,0,0,0,0,0,0,0,0,0,2,0,0,0,50,5000,0,28,,,,,,
荣誉勋章31号,30,0,214,0,1,2,0,0,0,0,0,0,0,0,0,0,0,50,5000,0,28,,,,,,
荣誉勋章32号,30,0,214,0,0,0,1,2,0,0,0,0,0,0,0,0,0,50,5000,0,28,,,,,,
荣誉勋章33号,30,0,214,0,0,0,0,0,1,2,0,0,0,0,0,0,0,50,5000,0,28,,,,,,
荣誉勋章34号,30,0,214,0,0,0,0,0,0,0,1,2,0,0,0,0,0,50,5000,0,28,,,,,,
荣誉勋章35号,30,0,214,0,0,0,0,0,0,0,0,0,1,2,0,0,0,50,5000,0,28,,,,,,
荣誉勋章41号,30,0,214,0,1,3,0,0,0,0,0,0,0,0,0,0,0,50,10000,0,28,,,,,,
荣誉勋章42号,30,0,214,0,0,0,1,3,0,0,0,0,0,0,0,0,0,50,10000,0,28,,,,,,
荣誉勋章43号,30,0,214,0,0,0,0,0,1,3,0,0,0,0,0,0,0,50,10000,0,28,,,,,,
荣誉勋章44号,30,0,214,0,0,0,0,0,0,0,1,3,0,0,0,0,0,50,10000,0,28,,,,,,
荣誉勋章45号,30,0,214,0,0,0,0,0,0,0,0,0,1,3,0,0,0,50,10000,0,28,,,,,,
荣誉勋章51号,30,0,214,0,1,4,0,0,0,0,0,0,0,0,0,0,0,50,10000,0,28,,,,,,
荣誉勋章52号,30,0,214,0,0,0,1,4,0,0,0,0,0,0,0,0,0,50,10000,0,28,,,,,,
荣誉勋章53号,30,0,214,0,0,0,0,0,1,4,0,0,0,0,0,0,0,50,10000,0,28,,,,,,
