id,字符串key,名字,0不允许覆盖1覆盖等级，时间重置2叠加等级，时间重置3覆盖等级，时间不变4叠加等级，时间不变5覆盖等级，时间延长6叠加等级，时间延长,是否下线保存,下线是否计时,是否同步客户端,是否广播客户端(todo),是否死亡清除,持有图标(留空表示不显示图标),持有特效(留空表示不显示特效),持有特效1(留空表示不显示特效),特效类型(留空表示不显示特效),特效层级(0:身后 1:身前),替换组key(同一个组key的buff生效时，会删除原组所有buff),互斥组key(有同一个组key的buff生效时，无法再添加新的同组buff),缺省持续秒,更新时间秒（0表示不更新）,是否屏蔽时间,最大等级(0不限),固定属性个数（总属性=固定属性+buff等级*等级属性）,固定属性槽,固定属性槽,固定属性槽,固定属性槽,固定属性槽,固定属性槽,固定属性槽,等级属性个数,等级属性槽,等级属性槽,等级属性槽,等级属性槽,等级属性槽,描述
133,zhanbukan01,坎1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,99;100;100,,,,,,,,,,,,,增加：战士生命500，法师生命200，道士生命300
134,zhanbukan02,坎2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,99;150;150,,,,,,,,,,,,,增加：战士生命750，法师生命300，道士生命450
135,zhanbukan03,坎3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,99;200;200,,,,,,,,,,,,,增加：战士生命1000，法师生命400，道士生命600
136,zhanbuli01,离1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,9;10;20,,,,,,,,,,,,,物理防御：10-20
137,zhanbuli02,离2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,9;10;30,,,,,,,,,,,,,物理防御：10-30
138,zhanbuli03,离3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,9;10;40,,,,,,,,,,,,,物理防御：10-40
139,zhanbugen01,艮1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,10;10;20,,,,,,,,,,,,,魔法防御：10-20
140,zhanbugen02,艮2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,10;10;30,,,,,,,,,,,,,魔法防御：10-30
141,zhanbugen03,艮3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,10;10;40,,,,,,,,,,,,,魔法防御：10-40
142,zhanbudui01,兑1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,2;4;4,,,,,,,,,,,,,躲避：4点
143,zhanbudui02,兑2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,2;6;6,,,,,,,,,,,,,躲避：6点
144,zhanbudui03,兑3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,2;8;8,,,,,,,,,,,,,躲避：8点
145,zhanbuzhen01,震1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,3;6;6,,,,,,,,,,,,,魔法躲避：6%
146,zhanbuzhen02,震2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,3;9;9,,,,,,,,,,,,,魔法躲避：9%
147,zhanbuzhen03,震3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,3;12;12,,,,,,,,,,,,,魔法躲避：12%
148,zhanbuxun01,巽1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,45;40;40,,,,,,,,,,,,,暴击等级：40
149,zhanbuxun02,巽2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,45;60;60,,,,,,,,,,,,,暴击等级：60
150,zhanbuxun03,巽3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,45;80;80,,,,,,,,,,,,,暴击等级：80
151,zhanbukun01,坤1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,50;40;40,,,,,,,,,,,,,韧性：40
152,zhanbukun02,坤2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,50;60;60,,,,,,,,,,,,,韧性：60
153,zhanbukun03,坤3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,50;80;80,,,,,,,,,,,,,韧性：80
154,zhanbuqian01,乾1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,105;20;20,,,,,,,,,,,,,本职业攻击：20-20
155,zhanbuqian02,乾2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,105;30;30,,,,,,,,,,,,,本职业攻击：30-30
156,zhanbuqian03,乾3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,105;40;40,,,,,,,,,,,,,本职业攻击：40-40
157,zhanbukan101,坎1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,99;40000;40000,,,,,,,,,,,,,增加：战士生命200000，法师生命80000，道士生命120000，妖士生命200000
158,zhanbukan102,坎2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,99;60000;60000,,,,,,,,,,,,,增加：战士生命300000，法师生命120000，道士生命180000，妖士生命300000
159,zhanbukan103,坎3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,99;100000;100000,,,,,,,,,,,,,增加：战士生命400000，法师生命160000，道士生命240000，妖士生命400000
160,zhanbuli101,离1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,9;1000;2000,,,,,,,,,,,,,物理防御：1000-2000
161,zhanbuli102,离2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,9;1000;3000,,,,,,,,,,,,,物理防御：1000-3000
162,zhanbuli103,离3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,9;1000;4000,,,,,,,,,,,,,物理防御：1000-4000
163,zhanbugen101,艮1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,10;1000;2000,,,,,,,,,,,,,魔法防御：1000-2000
164,zhanbugen102,艮2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,10;1000;3000,,,,,,,,,,,,,魔法防御：1000-3000
165,zhanbugen103,艮3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,10;1000;4000,,,,,,,,,,,,,魔法防御：1000-4000
166,zhanbudui101,兑1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,2;4;4,,,,,,,,,,,,,躲避：4点
167,zhanbudui102,兑2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,2;6;6,,,,,,,,,,,,,躲避：6点
168,zhanbudui103,兑3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,2;8;8,,,,,,,,,,,,,躲避：8点
169,zhanbuzhen101,震1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,3;6;6,,,,,,,,,,,,,魔法躲避：6%
170,zhanbuzhen102,震2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,3;9;9,,,,,,,,,,,,,魔法躲避：9%
171,zhanbuzhen103,震3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,3;12;12,,,,,,,,,,,,,魔法躲避：12%
172,zhanbuxun101,巽1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,55;10000;10000,,,,,,,,,,,,,神圣攻击：10000
173,zhanbuxun102,巽2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,55;20000;20000,,,,,,,,,,,,,神圣攻击：20000
174,zhanbuxun103,巽3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,55;30000;30000,,,,,,,,,,,,,神圣攻击：30000
175,zhanbukun101,坤1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,56;500;500,,,,,,,,,,,,,神圣免伤：500
176,zhanbukun102,坤2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,56;1000;1000,,,,,,,,,,,,,神圣免伤：1000
177,zhanbukun103,坤3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,56;1500;1500,,,,,,,,,,,,,神圣免伤：1500
178,zhanbuqian101,乾1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,105;2000;2000,,,,,,,,,,,,,本职业攻击：2000-2000
179,zhanbuqian102,乾2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,105;3000;3000,,,,,,,,,,,,,本职业攻击：3000-3000
180,zhanbuqian103,乾3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,105;4000;4000,,,,,,,,,,,,,本职业攻击：4000-4000
181,zhanbukan201,坎1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,99;400;400,,,,,,,,,,,,,增加：战士生命2000，法师生命800，道士生命1200
182,zhanbukan202,坎2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,99;600;600,,,,,,,,,,,,,增加：战士生命3000，法师生命1200，道士生命1800
183,zhanbukan203,坎3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,99;800;800,,,,,,,,,,,,,增加：战士生命4000，法师生命1600，道士生命2400
184,zhanbuli201,离1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,9;10;80,,,,,,,,,,,,,物理防御：10-80
185,zhanbuli202,离2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,9;10;120,,,,,,,,,,,,,物理防御：10-120
186,zhanbuli203,离3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,9;10;160,,,,,,,,,,,,,物理防御：10-160
187,zhanbugen201,艮1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,10;10;80,,,,,,,,,,,,,魔法防御：10-80
188,zhanbugen202,艮2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,10;10;120,,,,,,,,,,,,,魔法防御：10-120
189,zhanbugen203,艮3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,10;10;160,,,,,,,,,,,,,魔法防御：10-160
190,zhanbudui201,兑1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,2;4;4,,,,,,,,,,,,,躲避：4点
191,zhanbudui202,兑2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,2;6;6,,,,,,,,,,,,,躲避：6点
192,zhanbudui203,兑3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,2;8;8,,,,,,,,,,,,,躲避：8点
193,zhanbuzhen201,震1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,3;6;6,,,,,,,,,,,,,魔法躲避：6%
194,zhanbuzhen202,震2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,3;9;9,,,,,,,,,,,,,魔法躲避：9%
195,zhanbuzhen203,震3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,3;12;12,,,,,,,,,,,,,魔法躲避：12%
196,zhanbuxun201,巽1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,45;40;40,,,,,,,,,,,,,暴击等级：40
197,zhanbuxun202,巽2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,45;60;60,,,,,,,,,,,,,暴击等级：60
198,zhanbuxun203,巽3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,45;80;80,,,,,,,,,,,,,暴击等级：80
199,zhanbukun201,坤1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,50;40;40,,,,,,,,,,,,,韧性：40
200,zhanbukun202,坤2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,50;60;60,,,,,,,,,,,,,韧性：60
201,zhanbukun203,坤3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,50;80;80,,,,,,,,,,,,,韧性：80
202,zhanbuqian201,乾1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,105;20;80,,,,,,,,,,,,,本职业攻击：20-80
203,zhanbuqian202,乾2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,105;30;120,,,,,,,,,,,,,本职业攻击：30-120
204,zhanbuqian203,乾3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,105;40;160,,,,,,,,,,,,,本职业攻击：40-160
205,zhanbukan301,坎1级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,99;100;100,,,,,,,,,,,,,增加：战士生命500，法师生命200，道士生命300，灵枪生命400
206,zhanbukan302,坎2级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,99;150;150,,,,,,,,,,,,,增加：战士生命750，法师生命300，道士生命450，灵枪生命600
207,zhanbukan303,坎3级,1,1,1,1,1,0,34047,,,,,,,86400,,0,0,1,99;200;200,,,,,,,,,,,,,增加：战士生命1000，法师生命400，道士生命600，灵枪生命800
208,expdouble,双倍经验,5,1,1,1,0,0,34055,,,,,,,7200,,0,0,1,77;100;100,,,,,,,0,,,,,,勇敢的战士，你当前正处于双倍经验状态。战斗吧勇士！
209,newPlayerExpBuff,新手经验,0,1,0,1,0,0,34055,,,,,,,7200,6,0,0,1,,,,,,,,,,,,,,欢迎来到传奇世界，您正在享受新手经验福利，每6秒可获得一次经验值！
210,qianghuajinganghuti1,金刚护体强化,1,0,0,1,0,0,,,,,,qianghuajinganghuti1,,60,,0,0,4,1;500;500,2;4;4,9;4;4,10;4;4,,,,,,,,,,
211,qianghuafengyingdun1,风影盾强化,1,0,0,1,0,0,,,,,,qianghuafengyingdun1,,60,,0,0,1,2;8;8,,,,,,,,,,,,,
212,qianghuashenshengzhanjia1,神圣战甲术强化,1,0,0,1,0,0,,,,,,qianghuashenshengzhanjia1,,60,,0,0,1,9;5;10,,,,,,,,,,,,,
213,qianghuayoulingdun1,幽灵盾强化,1,0,0,1,0,0,,,,,,qianghuayoulingdun1,,60,,0,0,1,10;5;10,,,,,,,,,,,,,
214,zhisixiaoguo1,致死效果,1,0,0,1,0,0,,,,,,zhisixiaoguo1,,5,,0,0,1,121;25;25,,,,,,,,,,,,,
215,zengshangjiacheng1,增伤加成,1,0,0,1,0,0,,,,,,zengshangjiacheng1,,360000,,0,0,1,120;30;30,,,,,,,,,,,,,
216,fabaoshanghaijiangdi1,法宝伤害减免,1,0,0,1,0,0,,,,,,fabaoshanghaijiangdi1,,360000,,0,0,1,122;25;25,,,,,,,,,,,,,
220,jiangdibingdong,降低冰冻机率百分比,1,1,1,1,0,0,34047,,,,,jiangdibingdong,,30,,0,,1,250;100;100,,,,,,,,,,,,,降低受到冰冻几率
221,jiangdichenmo,降低沉默机率百分比,1,1,1,1,0,0,34047,,,,,jiangdichenmo,,30,,0,,1,251;50;50,,,,,,,,,,,,,降低受到沉默的几率
222,jiangdikongju,降低恐惧机率百分比,1,1,1,1,0,0,34047,,,,,jiangdikongju,,30,,0,,1,252;100;100,,,,,,,,,,,,,降低受到恐惧的几率
223,jiangdimabi,降低麻痹机率百分比,1,1,1,1,0,0,34047,,,,,jiangdikongju,,30,,0,,1,90;50;50,,,,,,,,,,,,,降低受到恐惧的几率
224,xiapinputi,下品菩提丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,105;8;8,,,,,,,,,,,,,本职业攻击：8-8
225,zhongpinputi,中品菩提丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,105;8;16,,,,,,,,,,,,,本职业攻击：8-16
226,shangpinputi,上品菩提丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,105;8;24,,,,,,,,,,,,,本职业攻击：8-24
227,jipinputi,极品菩提丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,105;8;32,,,,,,,,,,,,,本职业攻击：8-32
228,xianpinputi,仙品菩提丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,105;8;40,,,,,,,,,,,,,本职业攻击：8-40
229,xiapinyijing,下品易筋丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,9;8;8,,,,,,,,,,,,,物理防御：8-8
230,zhongpinyijing,中品易筋丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,9;8;16,,,,,,,,,,,,,物理防御：8-16
231,shangpinyijing,上品易筋丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,9;8;24,,,,,,,,,,,,,物理防御：8-24
232,jipinyijing,极品易筋丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,9;8;32,,,,,,,,,,,,,物理防御：8-32
233,xianpinyijing,仙品易筋丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,9;8;40,,,,,,,,,,,,,物理防御：8-40
234,xiapinxisui,下品洗髓丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,10;8;8,,,,,,,,,,,,,魔法防御：8-8
235,zhongpinxisui,中品洗髓丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,10;8;16,,,,,,,,,,,,,魔法防御：8-16
236,shangpinxisui,上品洗髓丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,10;8;24,,,,,,,,,,,,,魔法防御：8-24
237,jipinxisui,极品洗髓丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,10;8;32,,,,,,,,,,,,,魔法防御：8-32
238,xianpinxisui,仙品洗髓丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,10;8;40,,,,,,,,,,,,,魔法防御：8-40
239,xiapinduanti,下品锻体丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,99;40;40,,,,,,,,,,,,,增加：战士生命200，法师生命80，道士生命120
240,zhongpinduanti,中品锻体丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,99;80;80,,,,,,,,,,,,,增加：战士生命400，法师生命160，道士生命240
241,shangpinduanti,上品锻体丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,99;120;120,,,,,,,,,,,,,增加：战士生命600，法师生命240，道士生命360
242,jipinduanti,极品锻体丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,99;160;160,,,,,,,,,,,,,增加：战士生命800，法师生命320，道士生命480
243,xianpinduanti,仙品锻体丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,99;200;200,,,,,,,,,,,,,增加：战士生命1000，法师生命400，道士生命600
244,xiapinguming,下品古冥丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,4;2;2,,,,,,,,,,,,,命中：2
245,zhongpinguming,中品古冥丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,4;4;4,,,,,,,,,,,,,命中：4
246,shangpinguming,上品古冥丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,4;6;6,,,,,,,,,,,,,命中：6
247,jipinguming,极品古冥丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,4;8;8,,,,,,,,,,,,,命中：8
248,xianpinguming,仙品古冥丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,4;10;10,,,,,,,,,,,,,命中：10
249,xiapinhuishen,下品汇神丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,2;2;2,,,,,,,,,,,,,躲避：2
250,zhongpinhuishen,中品汇神丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,2;4;4,,,,,,,,,,,,,躲避：4
251,shangpinhuishen,上品汇神丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,2;6;6,,,,,,,,,,,,,躲避：6
252,jipinhuishen,极品汇神丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,2;8;8,,,,,,,,,,,,,躲避：8
253,xianpinhuishen,仙品汇神丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,2;10;10,,,,,,,,,,,,,躲避：10
254,xiapinzhenghun,下品镇魂丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,3;4;4,,,,,,,,,,,,,魔法躲避：4%
255,zhongpinzhenghun,中品镇魂丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,3;8;8,,,,,,,,,,,,,魔法躲避：8%
256,shangpinzhenghun,上品镇魂丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,3;12;12,,,,,,,,,,,,,魔法躲避：12%
257,jipinzhenghun,极品镇魂丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,3;16;16,,,,,,,,,,,,,魔法躲避：16%
258,xianpinzhenghun,仙品镇魂丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,3;20;20,,,,,,,,,,,,,魔法躲避：20%
259,xiapinningpo,下品凝魄丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,43;1;1,,,,,,,,,,,,,中毒躲避：10%
260,zhongpinningpo,中品凝魄丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,43;2;2,,,,,,,,,,,,,中毒躲避：20%
261,shangpinningpo,上品凝魄丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,43;3;3,,,,,,,,,,,,,中毒躲避：30%
262,jipinningpo,极品凝魄丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,43;4;4,,,,,,,,,,,,,中毒躲避：40%
263,xianpinningpo,仙品凝魄丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,43;5;5,,,,,,,,,,,,,魔法躲避：50%
264,xiapinyiqi,下品益气丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,251;10;10,,,,,,,,,,,,,降低受到沉默几率：10%
265,zhongpinyiqi,中品益气丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,251;20;20,,,,,,,,,,,,,降低受到沉默几率：20%
266,shangpinyiqi,上品益气丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,251;30;30,,,,,,,,,,,,,降低受到沉默几率：30%
267,jipinyiqi,极品益气丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,251;40;40,,,,,,,,,,,,,降低受到沉默几率：40%
268,xianpinyiqi,仙品益气丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,251;50;50,,,,,,,,,,,,,降低受到沉默几率：50%
269,xiapinjujing,下品聚精丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,250;10;10,,,,,,,,,,,,,降低受到冰冻几率：10%
270,zhongpinjujing,中品聚精丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,250;20;20,,,,,,,,,,,,,降低受到冰冻几率：20%
271,shangpinjujing,上品聚精丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,250;30;30,,,,,,,,,,,,,降低受到冰冻几率：30%
272,jipinjujing,极品聚精丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,250;40;40,,,,,,,,,,,,,降低受到冰冻几率：40%
273,xianpinjujing,仙品聚精丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,250;50;50,,,,,,,,,,,,,降低受到冰冻几率：50%
274,xiapinqingxin,下品清心丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,252;10;10,,,,,,,,,,,,,降低受到恐惧几率：10%
275,zhongpinqingxin,中品清心丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,252;20;20,,,,,,,,,,,,,降低受到恐惧几率：20%
276,shangpinqingxin,上品清心丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,252;30;30,,,,,,,,,,,,,降低受到恐惧几率：30%
277,jipinqingxin,极品清心丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,252;40;40,,,,,,,,,,,,,降低受到恐惧几率：40%
278,xianpinqingxin,仙品清心丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,252;50;50,,,,,,,,,,,,,降低受到恐惧几率：50%
279,jiangdibingdong1,降低冰冻机率百分比,1,1,1,1,0,0,34047,,,,,jiangdibingdong,,30,,0,,1,250;100;100,,,,,,,,,,,,,降低受到冰冻几率
280,jiangdichenmo1,降低沉默机率百分比,1,1,1,1,0,0,34047,,,,,jiangdichenmo,,30,,0,,1,251;50;50,,,,,,,,,,,,,降低受到沉默的几率
281,jiangdikongju1,降低恐惧机率百分比,1,1,1,1,0,0,34047,,,,,jiangdikongju,,30,,0,,1,252;100;100,,,,,,,,,,,,,降低受到恐惧的几率
282,jiangdimabi1,降低麻痹机率百分比,1,1,1,1,0,0,34047,,,,,jiangdikongju,,30,,0,,1,90;50;50,,,,,,,,,,,,,降低受到恐惧的几率
283,xiapinputi1,下品菩提丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,105;100;1000,,,,,,,,,,,,,本职业攻击：100-1000
284,zhongpinputi1,中品菩提丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,105;100;2000,,,,,,,,,,,,,本职业攻击：100-2000
285,shangpinputi1,上品菩提丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,105;100;4000,,,,,,,,,,,,,本职业攻击：100-4000
286,jipinputi1,极品菩提丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,105;100;10000,,,,,,,,,,,,,本职业攻击：100-10000
287,xianpinputi1,仙品菩提丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,105;100;20000,,,,,,,,,,,,,本职业攻击：100-20000
288,xiapinyijing1,下品易筋丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,9;100;1000,,,,,,,,,,,,,物理防御：100-1000
289,zhongpinyijing1,中品易筋丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,9;100;2000,,,,,,,,,,,,,物理防御：100-2000
290,shangpinyijing1,上品易筋丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,9;100;4000,,,,,,,,,,,,,物理防御：100-4000
291,jipinyijing1,极品易筋丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,9;100;10000,,,,,,,,,,,,,物理防御：100-10000
292,xianpinyijing1,仙品易筋丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,9;100;20000,,,,,,,,,,,,,物理防御：100-20000
293,xiapinxisui1,下品洗髓丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,10;100;1000,,,,,,,,,,,,,魔法防御：100-1000
294,zhongpinxisui1,中品洗髓丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,10;100;2000,,,,,,,,,,,,,魔法防御：100-2000
295,shangpinxisui1,上品洗髓丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,10;100;4000,,,,,,,,,,,,,魔法防御：100-4000
296,jipinxisui1,极品洗髓丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,10;100;10000,,,,,,,,,,,,,魔法防御：100-10000
297,xianpinxisui1,仙品洗髓丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,10;100;20000,,,,,,,,,,,,,魔法防御：100-20000
298,xiapinduanti1,下品锻体丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,99;10000;10000,,,,,,,,,,,,,增加：战士生命50000，法师生命20000，道士生命30000，妖士生命50000
299,zhongpinduanti1,中品锻体丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,99;20000;20000,,,,,,,,,,,,,增加：战士生命100000，法师生命40000，道士生命60000，妖士生命100000
300,shangpinduanti1,上品锻体丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,99;40000;40000,,,,,,,,,,,,,增加：战士生命200000，法师生命80000，道士生命120000，妖士生命200000
301,jipinduanti1,极品锻体丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,99;100000;100000,,,,,,,,,,,,,增加：战士生命500000，法师生命200000，道士生命300000，妖士生命500000
